id,id_externo,id_pedido_raw,id_producto_raw,id_ref_raw,nombre_linea,cantidad,precio_unitario,descuento_pct,iva_pct,total_linea,raw_json,inserted_at,id_pedido,id_pedido_estado,id_pedido_linea_origen,id_producto_referencia,ean,referencia,nombre,precio_unit,dto,subtotal,fecha_limite,fecha_completado,fecha_anulado,motivo
7,3187509.0,,,,,11.0,,,,,"{'ID': 3187509.0, 'DNA': None, 'DTO': 25.0, 'EAN': 9000003272252.0, 'NOMBRE': 'Manual. Creación de contenidos digitales. Nivel básico (FCOI15). Especialidades formativas', 'PRECIO': '19.5192', 'CANTIDAD': 11.0, 'IDPEDIDO': 849506.0, 'SINCARGO': 0.0, 'SUBTOTAL': '161.03', 'ESAPLAZOS': 0.0, 'PRECIODTO': '14.6394', 'CREATED_BY': 'INMACULADA.RODRIGUEZ@ORBEFORMACION.COM', 'CREATED_ON': '12-MAR-25 11.51.17.944834 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327225.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '13-MAR-25 02.38.33.948492 PM', 'FECHALIMITE': '03/13/2025', 'IDDIRECCION': 188602.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': '6.44', 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 0.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327225.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,849506.0,81.0,,327225.0,9000003272252.0,327225.0,Manual. Creación de contenidos digitales. Nivel básico (FCOI15). Especialidades formativas,,,161.03,2025-03-13,,,Pedido no encontrado (849506)
8,3187512.0,,,,,1.0,,,,,"{'ID': 3187512.0, 'DNA': None, 'DTO': 100.0, 'EAN': 9000003272399.0, 'NOMBRE': 'Manual. Atención sociosanitaria a personas dependientes con Alzheimer u otras demencias en instituciones sociales (SSCG01). Especialidades formativas', 'PRECIO': '24.4808', 'CANTIDAD': 1.0, 'IDPEDIDO': 849508.0, 'SINCARGO': 1.0, 'SUBTOTAL': 0.0, 'ESAPLAZOS': 0.0, 'PRECIODTO': 0.0, 'CREATED_BY': 'INMACULADA.RODRIGUEZ@ORBEFORMACION.COM', 'CREATED_ON': '12-MAR-25 12.06.55.426408 PM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327239.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '14-MAR-25 12.04.16.541933 PM', 'FECHALIMITE': '03/14/2025', 'IDDIRECCION': 188602.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': 0.0, 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 0.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327239.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,849508.0,81.0,,327239.0,9000003272399.0,327239.0,Manual. Atención sociosanitaria a personas dependientes con Alzheimer u otras demencias en instituciones sociales (SSCG01). Especialidades formativas,,,0.0,2025-03-14,,,Pedido no encontrado (849508)
9,3187511.0,,,,,15.0,,,,,"{'ID': 3187511.0, 'DNA': None, 'DTO': 25.0, 'EAN': 9000003272399.0, 'NOMBRE': 'Manual. Atención sociosanitaria a personas dependientes con Alzheimer u otras demencias en instituciones sociales (SSCG01). Especialidades formativas', 'PRECIO': '24.4808', 'CANTIDAD': 15.0, 'IDPEDIDO': 849508.0, 'SINCARGO': 0.0, 'SUBTOTAL': '275.41', 'ESAPLAZOS': 0.0, 'PRECIODTO': '18.3606', 'CREATED_BY': 'INMACULADA.RODRIGUEZ@ORBEFORMACION.COM', 'CREATED_ON': '12-MAR-25 12.06.40.374988 PM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327239.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '14-MAR-25 12.04.16.542042 PM', 'FECHALIMITE': '03/14/2025', 'IDDIRECCION': 188602.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': '11.02', 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 0.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327239.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,849508.0,81.0,,327239.0,9000003272399.0,327239.0,Manual. Atención sociosanitaria a personas dependientes con Alzheimer u otras demencias en instituciones sociales (SSCG01). Especialidades formativas,,,275.41,2025-03-14,,,Pedido no encontrado (849508)
10,3187902.0,,,,,1.0,,,,,"{'ID': 3187902.0, 'DNA': None, 'DTO': 100.0, 'EAN': 9000003272849.0, 'NOMBRE': 'Manual. Limpieza del mobiliario interior (MF0996_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108)', 'PRECIO': '20.6731', 'CANTIDAD': 1.0, 'IDPEDIDO': 849681.0, 'SINCARGO': 1.0, 'SUBTOTAL': 0.0, 'ESAPLAZOS': 0.0, 'PRECIODTO': 0.0, 'CREATED_BY': 'ROSA.CABELLO@GRUPOCEP.ES', 'CREATED_ON': '13-MAR-25 10.51.51.624684 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327284.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '14-MAR-25 03.37.42.970216 PM', 'FECHALIMITE': None, 'IDDIRECCION': 238141.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': 0.0, 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 1.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327284.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,849681.0,81.0,,327284.0,9000003272849.0,327284.0,Manual. Limpieza del mobiliario interior (MF0996_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108),,,0.0,,,,Pedido no encontrado (849681)
11,3187909.0,,,,,16.0,,,,,"{'ID': 3187909.0, 'DNA': None, 'DTO': 25.0, 'EAN': 9000003272856.0, 'NOMBRE': 'Manual. Limpieza, tratamiento y mantenimiento de suelos, paredes y techos en edificios y locales (MF0972_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108)', 'PRECIO': '20.3365', 'CANTIDAD': 16.0, 'IDPEDIDO': 849681.0, 'SINCARGO': 0.0, 'SUBTOTAL': '244.04', 'ESAPLAZOS': 0.0, 'PRECIODTO': '15.2524', 'CREATED_BY': 'ROSA.CABELLO@GRUPOCEP.ES', 'CREATED_ON': '13-MAR-25 10.52.15.989338 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327285.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '14-MAR-25 03.37.42.970305 PM', 'FECHALIMITE': '03/14/2025', 'IDDIRECCION': 238141.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': '9.76', 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 0.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327285.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,849681.0,81.0,,327285.0,9000003272856.0,327285.0,"Manual. Limpieza, tratamiento y mantenimiento de suelos, paredes y techos en edificios y locales (MF0972_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108)",,,244.04,2025-03-14,,,Pedido no encontrado (849681)
12,3187899.0,,,,,16.0,,,,,"{'ID': 3187899.0, 'DNA': None, 'DTO': 25.0, 'EAN': 9000003272849.0, 'NOMBRE': 'Manual. Limpieza del mobiliario interior (MF0996_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108)', 'PRECIO': '20.6731', 'CANTIDAD': 16.0, 'IDPEDIDO': 849681.0, 'SINCARGO': 0.0, 'SUBTOTAL': '248.08', 'ESAPLAZOS': 0.0, 'PRECIODTO': '15.5048', 'CREATED_BY': 'ROSA.CABELLO@GRUPOCEP.ES', 'CREATED_ON': '13-MAR-25 10.51.10.514195 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327284.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '14-MAR-25 03.37.42.970123 PM', 'FECHALIMITE': '03/14/2025', 'IDDIRECCION': 238141.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': '9.92', 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 0.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327284.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,849681.0,81.0,,327284.0,9000003272849.0,327284.0,Manual. Limpieza del mobiliario interior (MF0996_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108),,,248.08,2025-03-14,,,Pedido no encontrado (849681)
13,3187913.0,,,,,1.0,,,,,"{'ID': 3187913.0, 'DNA': None, 'DTO': 100.0, 'EAN': 9000003272856.0, 'NOMBRE': 'Manual. Limpieza, tratamiento y mantenimiento de suelos, paredes y techos en edificios y locales (MF0972_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108)', 'PRECIO': '20.3365', 'CANTIDAD': 1.0, 'IDPEDIDO': 849681.0, 'SINCARGO': 1.0, 'SUBTOTAL': 0.0, 'ESAPLAZOS': 0.0, 'PRECIODTO': 0.0, 'CREATED_BY': 'ROSA.CABELLO@GRUPOCEP.ES', 'CREATED_ON': '13-MAR-25 10.52.33.040774 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327285.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '14-MAR-25 03.37.42.970001 PM', 'FECHALIMITE': None, 'IDDIRECCION': 238141.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': 0.0, 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 1.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327285.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,849681.0,81.0,,327285.0,9000003272856.0,327285.0,"Manual. Limpieza, tratamiento y mantenimiento de suelos, paredes y techos en edificios y locales (MF0972_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108)",,,0.0,,,,Pedido no encontrado (849681)
16,3189530.0,,,,,1.0,,,,,"{'ID': 3189530.0, 'DNA': None, 'DTO': 100.0, 'EAN': 9000003274348.0, 'NOMBRE': '0447 EL CELADOR EN EL ÁREA DE URGENCIAS', 'PRECIO': '24.04', 'CANTIDAD': 1.0, 'IDPEDIDO': 850415.0, 'SINCARGO': 1.0, 'SUBTOTAL': 0.0, 'ESAPLAZOS': 0.0, 'PRECIODTO': 0.0, 'CREATED_BY': 'ROSA.CABELLO@GRUPOCEP.ES', 'CREATED_ON': '19-MAR-25 08.11.42.863474 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327434.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '28-MAR-25 09.19.37.020000 AM', 'FECHALIMITE': None, 'IDDIRECCION': 188602.0, 'IDPROVEEDOR': 123478.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': 0.0, 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 1.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327434.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,850415.0,81.0,,327434.0,9000003274348.0,327434.0,0447 EL CELADOR EN EL ÁREA DE URGENCIAS,,,0.0,,,,Pedido no encontrado (850415)
17,3189529.0,,,,,16.0,,,,,"{'ID': 3189529.0, 'DNA': None, 'DTO': 20.0, 'EAN': 9000003274348.0, 'NOMBRE': '0447 EL CELADOR EN EL ÁREA DE URGENCIAS', 'PRECIO': '24.04', 'CANTIDAD': 16.0, 'IDPEDIDO': 850415.0, 'SINCARGO': 0.0, 'SUBTOTAL': '307.71', 'ESAPLAZOS': 0.0, 'PRECIODTO': 19232.0, 'CREATED_BY': 'ROSA.CABELLO@GRUPOCEP.ES', 'CREATED_ON': '19-MAR-25 08.11.26.759206 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327434.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '28-MAR-25 09.19.37.020105 AM', 'FECHALIMITE': '03/27/2025', 'IDDIRECCION': 188602.0, 'IDPROVEEDOR': 123478.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': '12.31', 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 0.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327434.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,850415.0,81.0,,327434.0,9000003274348.0,327434.0,0447 EL CELADOR EN EL ÁREA DE URGENCIAS,,,307.71,2025-03-27,,,Pedido no encontrado (850415)
18,3189565.0,,,,,1.0,,,,,"{'ID': 3189565.0, 'DNA': None, 'DTO': 100.0, 'EAN': 9000003274447.0, 'NOMBRE': 'Manual. Limpieza de cristales en edificios y locales (MF1087_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108)', 'PRECIO': '14.9519', 'CANTIDAD': 1.0, 'IDPEDIDO': 850426.0, 'SINCARGO': 1.0, 'SUBTOTAL': 0.0, 'ESAPLAZOS': 0.0, 'PRECIODTO': 0.0, 'CREATED_BY': 'ROSA.CABELLO@GRUPOCEP.ES', 'CREATED_ON': '19-MAR-25 09.00.00.011553 AM', 'IDIMPUESTO': 1.0, 'REFERENCIA': 327444.0, 'UPDATED_BY': 'CLOUDIA', 'UPDATED_ON': '28-MAR-25 11.03.10.524248 AM', 'FECHALIMITE': '03/27/2025', 'IDDIRECCION': 188602.0, 'IDPROVEEDOR': 1.0, 'POSARANZADI': None, 'TASARECARGO': 0.0, 'CUOTARECARGO': 0.0, 'FECHAANULADO': None, 'TASAIMPUESTO': 4.0, 'TUTORIZACION': None, 'CUOTAIMPUESTO': 0.0, 'IDSUSCRIPCION': None, 'ACCESOANTERIOR': None, 'IDCODIGOACREXT': None, 'IDPEDIDOESTADO': 81.0, 'OBS_PRODUCCION': None, 'FECHACOMPLETADO': None, 'TASAGASTOSENVIO': 0.0, 'CUOTAGASTOSENVIO': 0.0, 'SINGASTOSDEENVIO': 1.0, 'IDPEDIDOLINEATIPO': 1.0, 'OBS_PREPRODUCCION': None, 'PROMOCIONPREVENTA': 0.0, 'IDPEDIDOLINEAORIGEN': None, 'IDPRODUCTOREFERENCIA': 327444.0, 'IDIMPUESTO_GASTOSENVIO': None}",2025-11-11T10:06:36.334443,850426.0,81.0,,327444.0,9000003274447.0,327444.0,Manual. Limpieza de cristales en edificios y locales (MF1087_1). Certificados de profesionalidad. Limpieza de superficies y mobiliario en edificio y locales (SSCM0108),,,0.0,2025-03-27,,,Pedido no encontrado (850426)
