pedidoid,productoid,linea,cantidad,precio_unitario,descuento_pct,total_linea,id_origen,raw_json
25,136,1,1.0,8.5481,0.0,8.55,3186714.0,"{""id"": 1, ""id_externo"": ""3186714.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3186714.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000002125030.0, ""NOMBRE"": ""Manual. Gestión auxiliar de reproducción en soporte convencional o informático (UF0514). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""PRECIO"": ""8.5481"", ""CANTIDAD"": 1.0, ""IDPEDIDO"": 849117.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""8.55"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""8.5481"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""10-MAR-25 04.06.25.114873 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 212503.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""12-MAR-25 02.56.03.668428 PM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 207890.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".34"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 212503.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""849117.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""212503.0"", ""ean"": ""9000002125030.0"", ""referencia"": ""212503.0"", ""nombre"": ""Manual. Gestión auxiliar de reproducción en soporte convencional o informático (UF0514). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 8.55, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
25,134,2,1.0,21625.0,0.0,21.63,3186715.0,"{""id"": 2, ""id_externo"": ""3186715.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3186715.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000002125016.0, ""NOMBRE"": ""Manual. Grabación de datos (MF0973_1). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""PRECIO"": 21625.0, ""CANTIDAD"": 1.0, ""IDPEDIDO"": 849117.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""21.63"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": 21625.0, ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""10-MAR-25 04.06.30.244807 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 212501.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""12-MAR-25 02.56.03.668587 PM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 207890.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".87"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 212501.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""849117.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""212501.0"", ""ean"": ""9000002125016.0"", ""referencia"": ""212501.0"", ""nombre"": ""Manual. Grabación de datos (MF0973_1). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 21.63, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
25,135,3,1.0,19.3365,0.0,19.34,3186716.0,"{""id"": 3, ""id_externo"": ""3186716.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3186716.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000002125023.0, ""NOMBRE"": ""Manual. Gestión auxiliar de archivo en soporte convencional o informático (UF0513). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""PRECIO"": ""19.3365"", ""CANTIDAD"": 1.0, ""IDPEDIDO"": 849117.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""19.34"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""19.3365"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""10-MAR-25 04.06.34.910119 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 212502.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""12-MAR-25 02.56.03.668081 PM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 207890.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".77"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 212502.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""849117.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""212502.0"", ""ean"": ""9000002125023.0"", ""referencia"": ""212502.0"", ""nombre"": ""Manual. Gestión auxiliar de archivo en soporte convencional o informático (UF0513). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 19.34, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
25,43,4,1.0,18.9135,0.0,18.91,3186717.0,"{""id"": 4, ""id_externo"": ""3186717.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3186717.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000001826549.0, ""NOMBRE"": ""Manual. Procesadores de textos y presentaciones de información básicos (UF0510). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""PRECIO"": ""18.9135"", ""CANTIDAD"": 1.0, ""IDPEDIDO"": 849117.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""18.91"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""18.9135"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""10-MAR-25 04.06.39.223154 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 182654.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""12-MAR-25 02.56.03.668277 PM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 207890.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".76"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 182654.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""849117.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""182654.0"", ""ean"": ""9000001826549.0"", ""referencia"": ""182654.0"", ""nombre"": ""Manual. Procesadores de textos y presentaciones de información básicos (UF0510). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 18.91, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
25,78,5,1.0,12.2885,0.0,12.29,3186718.0,"{""id"": 5, ""id_externo"": ""3186718.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3186718.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000001971270.0, ""NOMBRE"": ""Manual. Tratamiento básico de datos y hojas de cálculo (UF0511). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""PRECIO"": ""12.2885"", ""CANTIDAD"": 1.0, ""IDPEDIDO"": 849117.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""12.29"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""12.2885"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""10-MAR-25 04.06.44.210876 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 197127.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""12-MAR-25 02.56.03.668904 PM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 207890.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".49"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 197127.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""849117.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""197127.0"", ""ean"": ""9000001971270.0"", ""referencia"": ""197127.0"", ""nombre"": ""Manual. Tratamiento básico de datos y hojas de cálculo (UF0511). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 12.29, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
25,79,6,1.0,12.4808,0.0,12.48,3186719.0,"{""id"": 6, ""id_externo"": ""3186719.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3186719.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000001971287.0, ""NOMBRE"": ""Manual. Transmisión de información por medios convencionales e informáticos (UF0512). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""PRECIO"": ""12.4808"", ""CANTIDAD"": 1.0, ""IDPEDIDO"": 849117.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""12.48"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""12.4808"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""10-MAR-25 04.06.49.021939 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 197128.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""12-MAR-25 02.56.03.668737 PM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 207890.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".5"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 197128.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""849117.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""197128.0"", ""ean"": ""9000001971287.0"", ""referencia"": ""197128.0"", ""nombre"": ""Manual. Transmisión de información por medios convencionales e informáticos (UF0512). Certificados de profesionalidad. Operaciones de grabación y tratamiento de datos y documentos (ADGG0508)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 12.48, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
29,129,1,10.0,37.7788,0.0,377.79,3188678.0,"{""id"": 14, ""id_externo"": ""3188678.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 10.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3188678.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000002117257.0, ""NOMBRE"": ""Manual. Gestión fiscal (ADGD02). Especialidades formativas"", ""PRECIO"": ""37.7788"", ""CANTIDAD"": 10.0, ""IDPEDIDO"": 849987.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""377.79"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""37.7788"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""14-MAR-25 01.44.40.178776 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 211725.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""17-MAR-25 11.23.13.488914 AM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 216346.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": ""15.11"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 211725.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""849987.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""211725.0"", ""ean"": ""9000002117257.0"", ""referencia"": ""211725.0"", ""nombre"": ""Manual. Gestión fiscal (ADGD02). Especialidades formativas"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 377.79, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
30,193,1,16.0,27.8365,0.0,445.38,3189469.0,"{""id"": 15, ""id_externo"": ""3189469.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 16.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3189469.0, ""DNA"": 8.0, ""DTO"": 0.0, ""EAN"": 9000003272214.0, ""NOMBRE"": ""ENGLISH FOR ADULTS TODAY 1 ST 17"", ""PRECIO"": ""27.8365"", ""CANTIDAD"": 16.0, ""IDPEDIDO"": 850381.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""445.38"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""27.8365"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""18-MAR-25 02.55.40.057485 PM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 327221.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""24-MAR-25 05.00.58.678594 PM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 220764.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": ""17.82"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 327221.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""850381.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""327221.0"", ""ean"": ""9000003272214.0"", ""referencia"": ""327221.0"", ""nombre"": ""ENGLISH FOR ADULTS TODAY 1 ST 17"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 445.38, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
53,62,1,1.0,13.9327,0.0,13.93,3191503.0,"{""id"": 30, ""id_externo"": ""3191503.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3191503.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000001969499.0, ""NOMBRE"": ""Manual. Marketing y promoción en el punto de venta (UF2394). Certificados de profesionalidad. Gestión de marketing y comunicación (COMM0112)"", ""PRECIO"": ""13.9327"", ""CANTIDAD"": 1.0, ""IDPEDIDO"": 851120.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""13.93"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""13.9327"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""25-MAR-25 09.26.03.692165 AM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 196949.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""27-MAR-25 09.43.00.506849 AM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 224445.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".56"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 196949.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""851120.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""196949.0"", ""ean"": ""9000001969499.0"", ""referencia"": ""196949.0"", ""nombre"": ""Manual. Marketing y promoción en el punto de venta (UF2394). Certificados de profesionalidad. Gestión de marketing y comunicación (COMM0112)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 13.93, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
53,60,2,1.0,15.2885,0.0,15.29,3191501.0,"{""id"": 28, ""id_externo"": ""3191501.0"", ""id_pedido_raw"": null, ""id_producto_raw"": null, ""id_ref_raw"": null, ""nombre_linea"": null, ""cantidad"": 1.0, ""precio_unitario"": null, ""descuento_pct"": null, ""iva_pct"": null, ""total_linea"": null, ""raw_json"": {""ID"": 3191501.0, ""DNA"": 25.0, ""DTO"": 0.0, ""EAN"": 9000001969475.0, ""NOMBRE"": ""Manual. Plan de marketing empresarial (UF2392). Certificados de profesionalidad. Gestión de marketing y comunicación (COMM0112)"", ""PRECIO"": ""15.2885"", ""CANTIDAD"": 1.0, ""IDPEDIDO"": 851120.0, ""SINCARGO"": 0.0, ""SUBTOTAL"": ""15.29"", ""ESAPLAZOS"": 0.0, ""PRECIODTO"": ""15.2885"", ""CREATED_BY"": ""CLOUDIA"", ""CREATED_ON"": ""25-MAR-25 09.25.53.669138 AM"", ""IDIMPUESTO"": 1.0, ""REFERENCIA"": 196947.0, ""UPDATED_BY"": ""CLOUDIA"", ""UPDATED_ON"": ""27-MAR-25 09.43.00.506682 AM"", ""FECHALIMITE"": null, ""IDDIRECCION"": 224445.0, ""IDPROVEEDOR"": null, ""POSARANZADI"": null, ""TASARECARGO"": 0.0, ""CUOTARECARGO"": 0.0, ""FECHAANULADO"": null, ""TASAIMPUESTO"": 4.0, ""TUTORIZACION"": null, ""CUOTAIMPUESTO"": "".61"", ""IDSUSCRIPCION"": null, ""ACCESOANTERIOR"": null, ""IDCODIGOACREXT"": null, ""IDPEDIDOESTADO"": 81.0, ""OBS_PRODUCCION"": null, ""FECHACOMPLETADO"": null, ""TASAGASTOSENVIO"": 0.0, ""CUOTAGASTOSENVIO"": 0.0, ""SINGASTOSDEENVIO"": 0.0, ""IDPEDIDOLINEATIPO"": 1.0, ""OBS_PREPRODUCCION"": null, ""PROMOCIONPREVENTA"": 0.0, ""IDPEDIDOLINEAORIGEN"": null, ""IDPRODUCTOREFERENCIA"": 196947.0, ""IDIMPUESTO_GASTOSENVIO"": null}, ""inserted_at"": ""2025-11-11T10:06:36.334443"", ""id_pedido"": ""851120.0"", ""id_pedido_estado"": ""81.0"", ""id_pedido_linea_origen"": null, ""id_producto_referencia"": ""196947.0"", ""ean"": ""9000001969475.0"", ""referencia"": ""196947.0"", ""nombre"": ""Manual. Plan de marketing empresarial (UF2392). Certificados de profesionalidad. Gestión de marketing y comunicación (COMM0112)"", ""precio_unit"": null, ""dto"": null, ""subtotal"": 15.29, ""fecha_limite"": null, ""fecha_completado"": null, ""fecha_anulado"": null}"
